Date,Spend,Impressions,CPM,Clicks,CPC,CTR,Acquisitions,CPA,CR,Age,Gender,Targeting,Image,Copy,Bid Type,Placement
6/18/15,30.43,7685,3.959661679,15,2.028666667,0.001951854,0,0,0,35-44,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/18/15,10.98,2803,3.917231538,5,2.196,0.001783803,0,0,0,18-24,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/18/15,11.31,2818,4.013484741,11,1.028181818,0.003903478,0,0,0,45-54,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/18/15,7.62,1309,5.821237586,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/18/15,9.75,1699,5.738669806,0,0,0,0,0,0,18-24,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/18/15,31.47,5461,5.762680828,2,15.735,0.000366233,0,0,0,25-34,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/18/15,16.26,2820,5.765957447,0,0,0,0,0,0,35-44,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/18/15,36.1,9070,3.980154355,22,1.640909091,0.002425579,2,18.05,0.090909091,25-34,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/18/15,0.03,13,2.307692308,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/18/15,0.13,41,3.170731707,0,0,0,0,0,0,25-34,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/18/15,20.77,3904,5.320184426,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/18/15,0,2,0,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/18/15,7.86,1476,5.325203252,1,7.86,0.000677507,1,7.86,1,45-54,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/17/15,10.03,2941,3.410404624,4,2.5075,0.001360082,0,0,0,45-54,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/17/15,2.81,830,3.385542169,2,1.405,0.002409639,0,0,0,65+,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/17/15,31.7,5601,5.659703624,1,31.7,0.00017854,2,15.85,2,25-34,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/17/15,1.04,272,3.823529412,0,0,0,0,0,0,25-34,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/17/15,7.94,1402,5.663338088,1,7.94,0.000713267,0,0,0,45-54,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/17/15,17.56,3117,5.633622073,1,17.56,0.000320821,0,0,0,35-44,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/17/15,0.82,356,2.303370787,0,0,0,0,0,0,25-34,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/17/15,0.04,17,2.352941176,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
